Name,Assembly Code,MF_Number
Scheduling of Work,Z102030,
"School Equipment, EACH",E1090610,
"School Equipment, SF",E1090620,
Scoreboards Exterior,G205010,
Scoreboards Interior,E107050,
"Screening Devices, Site",G206080,
"Screens and Louvers, Site",G206080,
Screens Equipment,B201060,
Screens Interior,C101070,
Sculptures Fixed,E201010,
Sculptures Movable,E205010,
Scuppers,B302070,
"Seals and Shelters
Loans
Construction","E101050
209010",
"Seals and Shelters, Loading Dock",E101050,
Seat and Table Assemblies Fixed,E201070,
Seat and Table Assemblies Portable,E205060,
Seating,E205030,
"Seating and Tables, Site",G206025,
Sectional Doors Exterior,B205030,
Sectional Doors Interior,C10305,
Security 0201060,D201060,
Security Access Detection,D76101,
"Security Barriers, Temporary",Z10504,
Security Ceiling Assemblies,C10707,
"Security Doors, Exterior",B20504,
"Security Doors, interior",C10307,
"Security Enclosures, Temporary",Z10504,
Security Equipment,E10406,
"Security Gates, Interior",C10405,
Security Glazing Exterior Doors,B20504,
Security Glazing Exterior Windows,B20205,
Security Glazing Interior Doors,C10307,
Security Glazing Interior Windows,C10205,
Security Lighting,D50405,
Security Mirrors and Domes,C10909,
Security Plumbing Fetures,D20106,
Security Procedures,Z10207,
"Security Windows, Exterior",B20205,
"Security Windows, Interior",C10205,
"Security/Vault, EACH",E1010110,
Seeders,E10904,
Seeding,G20802,
Segmental Retaining Walls,G206060,
Seismic Control,F103030,
Seismic Instrumentation,F10802,
Selective Building Demolition,F30301,
Selective Bridge Demolition,F30305,
Selective Demolition,F3030,
Selective Historic Demolition,F30307,
Selective Interior Demolition,F30303,
Selective Site Demolition,G102050,
Self-Contained Air-conditioners,D303070,
"Self-contained, Air Cooled Unit Systems",D3050165,
"Self-contained, Water Cooled Unit Systems",D3050160,
Sensors ‘Smoke Detection,D70501,
Sensors Carbon-Monaxide Detection,D70501,
Sensors Fire Detection,D70501,
Sensors Fuel-Gas Detection,D70503,
Sensors Fuel-Oil Detection,D70504,
Sensors Radiation Detection,D70502,
Sensors Retrigerant Detection,D70505,
Sensors Water Detection,D70506,
"Separators, Sankary Waste",D20201,
Septic Tanks and Effluent Wet,G30204,
Septic Tanks Effluent Pumps,G302040,
Septic Tanks Facility,D20201,
Septic Tanks Unility,G30204,
Service Elevators,D10101,
Service Fittings and Accessories,E10401,
Service Sink Systems,D2010440,
Service Tunnels,G90104,
Service Walls,C10903,
Services,D,
Sewerage Cleanouts,G30205,
"Sewerage Manholes, Frames And Covers",G30205,
"Sewers, Sanitary",D20203,
Shaft Construction Pedestrian Tunnels,G90102,
Shaft Construction Service Tunnels,G90104,
Shaft Construction Vehicular Tunnels,G90101,
Shampoo Bowls,D20106,
Sheathing Balcony,B101030,
Sheathing Canopy,B102030,
Sheathing Exterior Balcony Walls,B20805,
Sheathing Exterior Walls,B201020,
Sheathing Floor,B101020,
Sheathing Mezzanine,B101040,
Sheathing Parapets,B201050,
Sheathing Ramps,B101050,
Sheathing Roof,B102020,
Sheet Carpeting,C203075,
Sheet Metal Flashing and Trim Horizontal Waterproofing,B304090,
Sheet Metal Flashing and Trim Roofing,B301090,
Sheet Metal Roofing,B301010,
Sheet Metal Roofing Specialties,B301010,
Sheet Piling Cofferdams,A90302,
Shelving Closet and Utility,C10907,
Shelving Food Service,E10308,
Shield Driving Tunnel Excavation,G90109,
Shingle & Tile,B3010140,
Ship Passenger,D103050,
Ship Passenger Loading Bridges,D10305,
Shipping Equipment,E10307,
Shooting Range Equipment,E10706,
"Shop Drawings, Product Data, and Samples",Z10205,
Shop-Fabricated Structural Wood Balcony Construction,B101030,
Shop-Fabricated Structural Wood Canopy Construction,B102030,
Shop-Fabricated Structural Wood Mezzanine Construction,B101040,
Shop-Fabricated Structural Wood Ramps,B101050,
Shop-Fabricated Wood Floor Trusses Floor,B101010,
Shop-Fabricated Wood Floor Trusses Roof,B102010,
Shotcrete Stabilization Rock Slope,G107045,
Shotcrete Stabilization Soil Slope,G107040,
Shotcrete Tunnel Lining Pedestrian,G90102,
Shotcrete Tunnel Lining Service,G901040,
Shotcrete Tunnel Lining Vehicular,G901010,
Shower & Dressing,C109025,
Shower Commercial,D201060,
Shower Curtains,E20504,
Shower Emergency,D201060,
Shower Healthcare,D201060,
Shower Residential,D201060,
Shower Systems,D2010710,
Showers,D201060,
Shrubs,G208030,
"Shunt Arresters, Site Electrical",G401050,
"Shutters, Interior",E201020,
Sidewalk Lifts,D10102,
"Siding, Exterior Walls",B201010,
Signage Exterior,G208030,
Signage Interior,C10902,
Signage Temporary Project,Z105070,
"Signaling and Control Equipment, Roadway",G201040,
"Sills, Exterior Wall Openings",B20109,
Simulated Stone Exterior Wall Veneer,B201010,
"Simulated Stone Fabrications, Exterior",B20807,
"Simulated Stone Fabrications, Interior",C2020,
Single Contract,30103,
Single Ply Membrane,B3010120,
Single Purposed Entities,30101,
"Single Span, Steel Deck",B1020131,
Single-Panel Doors Exterior,B205030,
Single-Panel Doors Interior,C10305,
Sinkhole Remediation,G105045,
Sinkhole Remediation Backfilling,G105045,
Sinkhole Remediation Grouting,G105045,
Sinks,D201060,
Sinks Commercial,D201060,
Sinks Healthcare,D201060,
Sinks Residential,D201060,
Sinks Security,D201060,
Site,G401070,
Site Acquisition,2010,
Site Aviation Fuel Distribution,G306060,
Site Bridges,G306070,
Site Clearing,G1010,
Site Communications Systems,G5010,
Site Communications Systems Distribution,G501030,
Site Communications Systems Structures,G501010,
Site Constructed Fireplaces,C109050,
Site Containment,G105040,
Site Development,G2060,
Site Development,G2040,
Site Development Components for Buildings,G2040990,
Site Diesel Fuel Distribution,G306040,
Site Earthwork,G1070,
Site Earthwork,G1030,
Site Electric Distribution Systems,G4010,
Site Elements Demaliition 61020,G1020,
Site Elements Relocations 61030,G1030,
Site Energy Distribution,G3050,
Site Equipment,G206050,
Site Fire Protection Water Distribution,G301030,
Site Fuel-Oil Distribution,G306020,
Site Furnishings,G206025,
Site Gas Distribution,G306010,
Site Gasoline Distribution G306030 3362,G306030,
Site Grounding,G401070,
Site Hydronic Cooling Distribution,G305040,
Site Hydronic Cooling Distribution Aboveground,G305040,
Site Hydronic Cooling Distribution Underground,G305040,
Site Hydronic Heating Distribution,G305010,
Site Hydronic Heating Distribution Aboveground,G305010,
Site Hydronic Heating Distribution Underground,G305010,
Site improvements,G20,
Site improvements Grounding,G401070,
Site Lease,20102,
Site Lighting,G4050,
Site Lighting,G4020,
Site Lighting,G4020110,
Site Maintenance,Z107030,
Site Preparation,G10,
Site Program,10201,
Site Purchase,20101,
Site Remediation,G1050,
Site Screening Devices,G206080,
Site Soil Treatment,G107090,
Site Specialties,G206085,
Site Steam Energy Distribution,G305020,
"Site Steam Energy Distribution Piping, Aboveground",G305020,
"Site Steam Energy Distribution Piping, Underground",G305020,
Site Storm Water Drains,G303040,
Site Subdrainage,G303060,
"Site Survey, Final",Z107070,
Site Wrrigation Water Distribution,G301050,
Sitework,G,
Skylights,B306010,
Skylights,B3020110,
Skylights Protection and Screens,B306010,
Slab on Grade,A1030,
Slab Trenches,A4010,
Slabs-On-Grade,A40,
Slabs-On-Grade Standard,A4010,
Slabs-On-Grade Structural,A4020,
Slabs-On-Grade Supplementary Components,A4090,
"Sliding Doors, interior",C103025,
Sliding Glass Doors Exterior,B20501,
Sliding Glass Doors interior,C103025,
"Sliding Metal Grilles, Interior",C10401,
Sliding Partitions,C10105,
Sliding Storefronts Exterior,B20501,
Sliding Storefronts interior,C10302,
Sliding Visual Display Units,C10902,
Slip Controllers,D501060,
Slip-Resistant Flooring Treatment,C20301,
Slope Protection,G107055,
Slope Protection Slope Paving,G107055,
Slurry Walls,A90307,
Slurry-Geomembrane Composite Slurry,A90307,
"Small Heating Systems, Hydronic, Electric Boilers",D3020102,
Small Tools and Consumable Costs,Z10702,
Smoke Detection Sensors,D70501,
Smoke Vents,B20605,
Snow Guards,B202010,
Snow Melting,D30701,
Snow Melting Aviation Pavement,G204040,
Snow Melting Parking Lot Pavement,G202040,
Snow Melting Pedestrian Pavement,G203040,
Snow Melting Roadway Pavement,G201040,
Sod Stripping and Stockpiling,_G101050,
Soda Fountain Equipment,E10308,
Sodding,G20802,
Soffits Panels,B20802,
Soffits Stair,B10803,
Soffits Vents,B20802,
"Softeners, Domestic Water",D26102,
Software Customer Relationship Management,D601050,
Software Data Communications,D601050,
Software Database,D601050,
Software GraphicsMuttimedia,D601050,
Software Internet Conferencing,D601050,
Software Operating System,D601050,
Software Telemanagement,D601040,
Software Virtual Private Network,D601050,
Software Virus Protection,D601050,
Soil Stabilization Remediation,G10503,
Soil Stripping and Stockpiling,G10105,
Soil Treatment Site,G10709,
"Soil Anchors, Excavation",A90301,
Soil Mixers,E10904,
Soil Mixing Stabilization,G10704,
Soil Nailing,G10704,
Soil Reinforcement,G10705,
Soil Stabilization,G10704,
Soil Treatment,A9040,
Soil Washing through Separation Solutbilization,G105025,
"Solar Collectors, Heating",D302010,
"Solar Direct Gain Glazing, Door Panels",D3010682,
Solar Direct Gain Glazing-Window Panels,D3010684,
Solar Heat Generation,D302010,
Solar instrumentation F,F10804,
Solar Swimming Pool Heater Systems,D3010660,
"Solar, Closed Loop, Add-On Hot Water Systems",D2020265,
"Solar, Closed Loop, Hot Water Systems",D2020295,
"Solar, Drainback, Hot Water Systems",D2020270,
"Solar, Draindown, Hot Water Systems",D2020275,
Soldier-Beam Retaining Walls,G20606,
Solicitation,3020,
Solid Brick Walls - Double Wythe,B2010126,
Solid Brick Walls - Single Wythe,B2010125,
"Solid Brick Walls, Reinforced",B2010127,
Solid Waste Bins,E109010,
Solid Waste Handling Equipment,E10901,
"Solid Waste Handling Equipment, EACH",E1090210,
Solidification and Stabilization Decontamination,G10501,
Sound and Vibration Control,F10301,
Sound and Vibration Control Flooring,C20309,
"Sound Barriers, Site",G20609,
Sound Control Doors Exterior,B20504,
Sound Control Doors interior,C10307,
Sound Control Windows Exterior,B20205,
Sound Control Windows interior,C10205,
Sound isolation Ceilings,C20609,
Sound isolation interior Partitions,C10109,
Sound isolation Suspended Ceilings,C10709,
Sound Masking Systems,D60601,
"Sound, Vibration, and Seismic Construction, SF",F1030120,
"Sound, Vibration, and Seismic Control, Floor Construction",B101090,
Sound-Absorbing Units Ceiling,C20508,
Sound-Absorbing Units Wall,C20108,
Sound-Canditioned Rooms,F101050,
Source Quality Control Procedures,Z10408,
Source Quality Control Reporting,Z10205,
Space Frames,F102020,
Spare Parts,Z10707,
Special Activity Rooms,F101050,
Special Construction,F10,
Special Construction and Demoftion,F,
Special Construction Systems,F1030,
"Special Construction, EACH",F1040910,
"Special Construction, EACH",F1040920,
"Special Construction, LF",F1020330,
Special Doors,C1020102,
Special Exhaust Systems,D30603,
Special Facilities,F1040,
Special Facility Components,F1050,
Special Foundation Walls,A102030,
Special Foundations,A1020,
Special Function Construction,F1030,
Special Function Construction Doors Exterior,B20504,
Special Function Construction Doors interior,C10307,
Special Function Suspended Ceilings,C10707,
Special Function Windows Exterior,B20205,
Special Function Windows interior,C10205,
Special Inspectors,20305,
Special Instrumentation,F1080,
Special Procedures,Z10207,
Special Project Procedures,Z10207,
Special Purpose HVAC Systems,D3070,
Special Purpose Lighting,D50405,
"Special Purpose Room, EACH",F1020250,
"Special Purpose Room, SF",F1020260,
Special Structures,F1020,
Special Structures,F1010,
"Special Structures, EACH",F1010330,
"Special Structures, SF",F1010340,
Special Wall Surfacing,C20106,
Specialties Emergency Aid,C109060,
Specialties Exterior Fountain,G208010,
Specialties Exterior Wall,B208090,
Specialties Fire Protection,D4030,
Specialties Fireplace,C10905,
Specialties Gray Water,D20306,
Specialties Information,C109020,
Specialties Interior,C1690,
Specialties Interior Fountain,F105020,
Specialties Pool,F105010,
Specialties Postal,C109070,
Specialties Roof,B302030,
Specialties Safety,C10906,
Specialties Sheet Metal Roofing,B30101,
Specialties Site,G206085,
Specialties Storage,C109070,
Specialties Telephone,C109020,
Specialties Wardrobe and Closet,C109070,
Specialty Casework,E201030,
Specialty Ceiling Exterior Bulkheads,B30803,
"Specialty Ceilings, Exterior Ceilings",B308010,
"Specialty Ceilings, Exterior Soffits",B30802,
"Specialty Door Frames, Exterior",B20509,
Specialty Flooring,C20303,
"Specialty Frames, Interior Doors",C10309,
Specialty Suspended Ceilings,C10705,
Spires,B302030,
Split Face Block Wall - Lightweight,B2010118,
Split Face Block Wall - Regular Weight,B2010117,
Split Ribbed Block Wall - Lightweight,B2010114,
Split Ribbed Block Wall - Regular Weight,B2010113,
Split Systems With Air Cooled Condensing Units,D3050170,
Split-System Air-Conditioners,D30307,
Spread Footings,A101020,
Spread Footings,A1010210,
Sprigging,G20802,
Sprinkler Systems Fire-Suppression,D40101,
Sprinkler Systems Landscaping,G20801,
Sprinklers,D4010,
Stabilization Ponds,G303070,
Stadium and Arena Seating,E20107,
"Stadium Grandstands and Bleachers, Exterior",F10204,
Stage Curtains,E107010,
Stage Lifts,D10102,
Stage Turntables,D10303,
"Stages, Folding and Portable",E107010,
Staging Areas,Z105035,
Stair Construction,C2010,
Stairs,B1080,
Stairs,C2010110,
Stairs Construction,B108010,
Stairs Finishes,C2040,
Stairs Railings,B108050,
Stairs Retractable,E10605,
Stairs Soffits,B108030,
Standard Foundations,A1010,
Standard Foundations Supplementary Components,A10109,
Standard Pipe Fittings - Installed - Unit Costs,D2090820,
Standard Slabs-on-Grade,A4010,
Starting and Adjusting,Z10704,
Startup Procedures,Z10704,
Static Power Converters,D50102,
Static Resistant Flooring Treatment,C20303,
Static Uninterruptible Power Supply,D50102,
Static-Control Flooring,C20303,
Static-Control Flooring Resilient Flooring,C20303,
Static-Frequency Converters,D50106,
Steam Baths,F101050,
Steam Condensate Pumps,D305030,
Steam Distribution,D305030,
"Steam Distribution, Faciity",D305030,
"Steam Energy Distribution, Site",G30502,
Steam Piping,D305030,
Steam Piping System,D305030,
Steam Turbine Generators,D50101,
Steam Utility Connection,G305020,
Steel Beam Fireproo?ng,B1010710,
Steel Column Fireproo?ng,B1010720,
Steel Columns,B1010208,
Steel H Piles,A1020140,
Steel Joist Girders and Beams Floor,B101010,
Steel Joist Girders and Beams Roof,B102010,
Steel Joists,B101010,
Steel Joists & Deck on Bearing Walls,B1020116,
Steel Joists & Joist Girders on Columns,B1020124,
Steel Joists on Beam & Wall,B1010248,
"Steel Joists, Beams & Deck on Columns & Walls",B1020108,
"Steel Joists, Beams & Slab on Columns",B1010250,
"Steel Joists, Beams, & Deck on Columns",B1020112,
"Steel Joists, Joist Girders & Deck on Columns & Walls",B1020120,
Steel Pipe Piles,A1020130,
Steel Ribs and Lagging Pedestrian Tunnels,G90102,
Steel Ribs and Lagging Service Tunnels,G90104,
Steel Ribs and Lagging Vehicular Tunnels,G90101,
Steep Slope Roofing,B301010,07 30 00
Steeples,B302030,
Step-Tapered Steel Piles,A1020150,
Stipulated Sum Method of Payment,30105,
Stock Feeders,E109030,
Stock Waterers,E109030,
"Stone Cladding, Exterior Walls",B201010,
Stone Facing,C201050,
Stone Flooring,C203040,
Stone Masonry Exterior Wall Veneer,B201010,
Stone Retaining Walls,G208060,
Stone Veneer,B2010128,
"Stone Veneer, interior",C201050,
Storage Assemblies,C109070,
Storage Racks,C109070,
Storage SheWing,C109070,
Storage Specialties,C109070,
"Storage Specialties, EACH",C1030310,
Storage Tanks Facility Potable-Water,D261010,
Storage Tanks Fuel,D301050,
Storage Tanks Gas,D206030,
Storage Tanks Rainwater,D203010,
Storage Tanks Site Aviation Fuel,G308060,
Storage Tanks Site Compressed Gases,G308010,
Storage Tanks Site Diesel Fuel,G308040,
Storage Tanks Site Domestic Water,G301010,
Storage Tanks Site Fire Protection Water,G301030,
Storage Tanks Site Fuel-Oil,G308020,
Storage Tanks Site Gasoline,G308030,
Storage Tanks Site Irrigation Water,G301050,
"Storage Tanks
Fuel-Fired",D301050,
Storefronts Exterior,B203030,
Storefronts Interior,C101020,
Storm Drainage Utilities,G2030,
Storm Drainage Utilities Piping,G303020,
Storm Drainage Utilities Pumps,G303050,
Storm Drainage Utilities Utility Connection,G303010,
Storm Panels,B208030,
Storm Sewer,G3030,
"Storm Water Polution Contral, Temporary",Z105050,
"Storm Water Treatment, Site",G303040,
Storm Windows,B202010,
Stormwater Drainage Equipment,D203010,
Stormwater Drainage Manholes,D203010,
Stormwater Drainage Piping,D203010,
Stormwater Drainage Piping Cleanouts,D203010,
Stormwater Drainage Piping Speciatties,D203010,
Stormwater Drainage Pumps,D203010,
Stormwater Drainage Sump Pumps,D203010,
Stoves,C109050,
Stress Instrumentation,F10801,
Stretched-Fabric Wall Systems,C20106,
Strip Footings,A1010110,
Structural Aluminum Frarning:,B10101,
"Structural Bus Supports, Site Electrical",G40103,
Structural Engineers,20302,
Structural Frame Floor,B101010,
Structural Frame Roof,B102010,
Structural Metal Columns Supporting Floors,B10101,
Structural Metal Columns Supporting Roofs,B102010,
Structural Metal Floor Girders and Beams,B101010,
Structural Metal Floor Trusses,B101010,
Structural Metal Framed Balcony Construction,B10103,
Structural Metal Framed Canopy Construction,B102030,
Structural Metal Framed Mezzanine Construction,B101040,
Structural Metal Framed Ramps,B101050,
Structural Metal Roof Girders and Beams,B102010,
Structural Metal Roof Trusses,B102010,
Structural Metal Stud Framed Exterior Balcony Walls,B20805,
Structural Metal Stud Framed Exterior Walls,B201020,
Structural Metal Stud Framed interior Partitions,C10101,
Structural Metal Stud Framed Parapets,B20105,
Structural Panel Balcony Construction,B101030,
Structural Panel Canopy Construction,B102030,
Structural Panel Exterior Walls,B201020,
Structural Panel Floor Decks,B101020,
Structural Panel Mezzanine Construction,B101040,
Structural Panel Parapets,B201050,
Structural Panel Ramps,B101050,
Structural Panel Roof Deck,B102020,
Structural Plastic Balcony Construction,B101030,
Structural Plastic Canopy Construction,B102030,
Structural Plastic Columns Supporting Floors,B10101,
Structural Plastic Columns Supporting Roofs,B102010,
Structural Plastic Floor Girders and Beams,B101010,
Structural Plastic Mezzanine Construction,B101040,
Structural Plastic Ramps,B101050,
Structural Plastic Roof Girders and Beams,B102010,
Structural Slabs-on-Grade,A4020,
Structural Stainless-Steel,B101010,
Structural Steel Framing,B10101,
Structure Demolition,F3010,
Structure Moving,F3050,
Structure Raising,F305030,
Structure Relocation F 305010,F305010,
Structures,D508010,
"Structures, Special",F1020,
Stucco Wall,B2010151,
"Stucco, Exterior Walls",B201010,
Subbase Layer Slab-On-Grade,A409060,
Subdrainage,G206060,
Subdrainage Building,A6010,
Subdrainage Piping,A2020220,
Subdrainage Piping Site,G303060,
Subdrainage Retaining Wall,G208060,
Subdrainage Site,G303060,
Subgrade Enclosure Walls,A2010,
Subgrade Enclosure Walls Construction,A201010,
Subgrade Enclosure Walls Interior Skin,A201020,
Subgrade Enclosure Walls Supplementary Components,A201090,
Subgrade Enclosures,A20,
Submerged Piping,,
Submersible Tube Tunnels Pedestrian,G901020,
Submersible Tube Tunnels Service,G901040,
Submersible Tube Tunnels Vehicular,G901010,
"Submittals Bus Assemblies, Site Electrical",G401030,
"Submittals Control Wiring, Site Electrical",G401020,
Submittals Procedures,Z102050,
Submittals Schedule A102030,A102030,
Substation,G401030,
"Substations, Facility",D502010,
Substitution Procedures,Z101050,
Substrate Board Horizontal Waterproofing,B304090,
Substrate Board Rooting,B301090,
Substructure,A,
Substructure Backfill and Campaction,A901010,
Substructure Excavation,A9010,
Substructure Excavation Support,A9030,
Substructure Related Activities,A90,
Subsurface Investigation,10405,
Summary of Work,10101,
"Sump Pumps, Stormwater Drainage",D203010,
"Sun Control Devices, Exterior",B208030,
Superstructure,B10,
Supplemental instructions,Z101060,
Supplementary Components,G3090,
Supplementary Components ‘Standard Foundation,A101090,
Supplementary Components Ceiling Fintsh,C205090,
Supplementary Components Communications,D6090,
Supplementary Components Cooling Systern,D303090,
Supplementary Components Domestic Water Distribution,D201090,
Supplementary Components Electrical Service and Distribution,D502090,
Supplementary Components Electronic Safety and Security,D7090,
Supplementary Components Exterior Door,B205090,
Supplementary Components Exterior Lighting,G405090,
Supplementary Components Exterior Wall,B201080,
Supplementary Components Exterior Wall Opening,B201090,
Supplementary Components Exterior Window,B20209,
Supplementary Components Facility Distribution Systems,D305090,
Supplementary Components Facility Power Generation,D501090,
Supplementary Components Fire Suppression,D401090,
Supplementary Components Floor Construction,B101090,
Supplementary Components Flooring,C203090,
Supplementary Components General Purpose Electrical Power,D503090,
Supplementary Components Heating System,D302090,
Supplementary Components Horizontal Opening,B306090,
Supplementary Components integrated Automation,D801090,
Supplementary Components interior Door,C103090,
Supplementary Components interior Partition,C101090,
Supplementary Components interior Window,C102090,
Supplementary Components Lighting,D504090,
Supplementary Components Miscellaneous Electrical,D508090,
Supplementary Components Process Support Phambing,D206090,
Supplementary Components Roof Construction,B102090,
Supplementary Components Roofing,B301090,
Supplementary Components Sanitary Drainage,D20209,
Supplementary Components Slab-On-Grade,A4090,
Supplementary Components Subgrade Enclosure Wall,A201090,
Supplementary Components Support Plumbing,D203090,
Supplementary Components Ventilation,D306090,
Supplementary Components Wall Finish,C201090,
Supplementary Conditions,403035,
Supplementary Instructions,303015,
Supplier Qualifications,Z104040,
Supply Air,D306010,
Supply Air Duct Accessories,D0306010,
Supply Air Ducts and Casings,D0306010,
Supply Air HVAC Fans,D0306010,
Supply Air Outlets,D0306010,
Supply Air Plenums and Chases,D0306010,
Supply Air Terminal Units,D0306010,
Surface Cleaning Decontamination,G105010,
Surface Removal Decontamination,G105010,
Surfaces Athletic,G205010,
Surfaces Playfield,G205050,
Surfaces Recreational,G205030,
Surge Arresters and Suppressors,D508010,
"Surge Arresters, Site Electrical",G401050,
"Surveillance, Electronic",D7030,
"Surveillance, Video",D703010,
Survey and Layout Data,Z102030,
Survey Information,304035,
Surveyors,20303,
Surveys,10403,
Suspended Ceilings Acoustical,C107010,
Suspended Ceilings Construction,C1070,
Suspended Ceilings Plaster and Gypsum Board,C107020,
Suspended Ceilings Plaster and Gypsum Board Suspension,C107020,
Suspended Ceilings Sound Isolation,C10709,
Suspended Ceilings Special Function,C10707,
Suspended Ceilings Specialty,C10705,
Suspended Ceilings Suspension Systems,C10709,
Suspended Decorative,E20101,
Suspended Scaffolding,D10801,
Sustainability Certification Project Procedures,Z10207,
Sustainable Design Reporting,Z10205,
Sustainable Design Requirements,10305,
Swimming Pools,F105010,
"Swing Staging, Temporary",Z105030,
"Swinging Doors, Interior",C10301,
Switchboards and Panelboards,D502030,
Switchgear,D5010240,
"Switchgear and Switchboards, Facility",D502010,
"Synthetic Resilient Surfacing, Playfield",G205050,
Systems Furniture,E205030,
Table Accessones,E20504,
Table Garnes Equipment,E107060,
Tackboards,C10902,
Tactile Warning Surfacing,G20304,
"Tames, Permits, Insurance and Bonds",Z70,
Tanks Gray Water,D20306,
Tanks Chemical- Waste,D206040,
Tapestries,E20101,
Taxes,Z7010,
"Telecommunications, Temporary",Z10501,
Telemanagement Software,D602040,
Telemedicine Systems,D606030,
Telephone Systems,D5030310,
Telephones Elevator,D602020,
Telephones Ring-Down Emergency,D602020,
Telephones Sets,D602020,
Telephones Specialties,C10902,
Telescopes,E10401,
Telescoping Stands,E20107,
Telescoping Vertical Lift Doors Exterior,B205030,
Telescoping Vertical Lift Doors Interior,C10305,
"Television Systems, Master Antenna",D603010,
Teller and Service Equipment,E103025,
Teller Equipment Systems,E103025,
Temporary Access Roads,Z105035,
Temporary Air Barriers,Z105040,
Temporary Barricades,Z105040,
Temporary Barriers and Enclosures 2106040,Z105040,
Temporary Bridges,Z105025,
Temporary Construction,Z105025,
Temporary Controts,Z105050,
Temporary Cranes,Z105050,
Temporary Decking,Z105025,
Temporary Dust Barriers,Z105040,
Temporary Electricity,Z105010,
Temporary Elevators,Z105030,
Temporary Emsion and Sediment Control,Z105050,
Temporary Environmental Controls,Z105050,
Temporary Facilities and Controls 21060,Z1050,
Temporary Fencing,Z105040,
Temporary Fire Protection 2105010,Z105010,
Temporary Fuel Oil,Z105010,
"Temporary Heating, Cooling and Ventilating",Z105010,
Temporary Hoists,Z105030,
Temporary Interior Signage,Z105070,
Temporary Lighting,Z105010,
Temporary Natural Gas,Z105010,
Temporary Noise Barriers,Z105040,
Temporary Overpasses,Z105025,
Temporary Parking Areas,Z105035,
Temporary Pest Contral,Z105050,
Temporary Project Signage,Z105070,
Temporary Protective Walkways,Z105040,
Temporary Ramps,Z105025,
Temporary Roads,Z105035,
Temporary Runarounds,Z105025,
Temporary Scaffolding and Platforms,Z105030,
Temporary Security Barriers,Z105040,
Temporary Security Enclosures,Z105040,
Temporary Storm Water Pollution Control,Z105050,
Temporary Swing Staging,Z105030,
Temporary Telecommunications,Z105010,
Temporary Tree and Plant Protection,Z105040,
Temporary Utilities,Z105010,
Temporary Vehicular Access and Parking,Z105035,
Temporary Water,Z105010,
Tennis Court Fences and Gates,G205010,
Tennis Court Surfacing,G205010,
Tennis Court Wind Breaker,G205010,
Tensioned Fabric Structures,F102010,
Terminal & Package Units,D3050,
Terminal Units Air,D305050,
Terminal Units Outside Air,D305040,
Terminal Units Supply Air,D305010,
Termite Control,G107090,
Termite Control Soil Treatment,A9040,
Terrazzo,C203060,
Terrazzo Flooring,C203060,
Terrazzo Flooring Stair,C204060,
Testing and inspecting,Z101010,
Testing and inspecting,Z104080,
Testing and inspecting Agency,Z104040,
Testing Laboratories,20304,
Testing Laboratories,Z10408,
"Testing, Adjusting, and Balancing",D305090,
"Testing, Adjusting, and Balancing Cooling",D303090,
"Testing, Adjusting, and Balancing Distribution",D305090,
"Testing, Adjusting, and Balancing Heating",D305090,
Textured Ceiling Exterior,B308030,
Textured Ceiling Exterior,B308010,
Textured Ceiling Exterior,B308020,
Textured Ceiling Suspended,C107050,
Theater and Stage Equipment,E107010,
"Theater and Stage Equipment, EACH",E1020310,
"Theater and Stage Equipment, LF",E1020330,
"Theater and Stage Equipment, SF",E1020320,
Theatrical,D504050,
Theatrical Lighting,D504010,
Therapeutic Pools,F105010,
Therapy Equipment,E104020,
Thermal Cooling Storage,D303050,
Thermal Decontamination,G105020,
Thermal Desoption Decontamination,G108020,
Thermal Heat Storage,D302030,
Thermal Storage Chilled,D303050,
Thermal Storage Heat,D302030,
Thermal Storage Ice,D303050,
"Three Fixture Bathroom, One Wall Plumbing",D2010 924,
"Three Fixture Bathroom, Two Wall Plumbing",D2010926,
"Tied, Concentric Loaded Precast Concrete Columns",B1010206,
"Tied, Eccentric Loaded Precast Concrete Columns",B1010207,
Tile & Covering,C3020410,
Tile Carpeting,C203075,
Tile Flooring,C203020,
Tile Partitions,C1010120,
Tile Stair Finish,C204020,
Tile Wall Finish,C201010,
Tilt-Up Concrete Panel,B2010106,
Timber Cofferdams,A903020,
Timber Cribwork,A903040,
Timber Retaining Walls,G208060,
Time Allowances,Z101010,
Tire-Changing Equipment,E101010,
Toilet Accessories,C109040,
Toilet Compartments,C109025,
Toilet Partitions,C1030110,
"Toilet, Bath, and Laundry Accessories",C109040,
Toll Fraud Equipment and Software,D602040,
Towers,F102070,
Towers Antenna,G501010,
Towers Communications Transmission,G501010,
Towers Demolition,F301030,
Towers Grounding,G401070,
Toxic Materials Requirements,Z106050,
Traction Geared Elevators,D1010140,
Traction Gearless Elevators,D1010150,
Traffic Bearing Coatings,B304010,
Traffic Bearing Horizontal Enclosures,B3040,
Traffic Control,Z105035,
"Traffic Control Equipment, Roadway",G20104,
Traffic Doors Exterior,B205040,
Traffic Doors Interior,C103070,
Traffic Signage Airfield,G204040,
Traffic Signage Parking Lot,G204040,
Traffic Signage Roadway,G204040,
"Traffic Signals, Roadway",G201040,
Training,Z107080,
Transfer Switches,D801070,
"Transformers, Facility",D502010,
Transient Voltage Suppression,B506070,
Translucent Wall Assemblies,B201040,
Transmission and Distribution Equipment,G401020,
"Transmission and Distribution Specialties, Site Electrical",G401020,
